TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
KNHY11;106,87;12,86;1,08;3.260.088,85;7,02;22,44;-0,33;1.420.712.754,91;10.755,00;Ativa;
HGRU11;114,80;6,97;0,97;4.378.059,40;0,76;1,83;2,53;2.185.021.309,02;151.646,00;Ativa;
HFOF11;79,00;8,24;0,91;1.421.726,90;1,10;-14,51;-6,47;1.994.343.584,43;64.906,00;Ativa;
VILG11;102,50;6,42;0,90;4.481.516,28;1,58;-5,56;;1.712.192.304,32;145.146,00;Ativa;
JBFO11;89,92;4,06;1,00;57.230,00;0,78;;;114.483.771,39;354,00;Ativa;
FPAB11;220,08;6,34;0,54;10.331,69;1,40;-13,34;-15,90;306.999.081,09;948,00;Passiva;
VTVI11;0,00;0,00;;;11,96;;;68.157.360,55;1,00;Ativa;
GSFI11;4,35;0,00;0,32;186.712,83;18,94;;;1.011.611.502,01;5.723,00;Ativa;
HRDF11;1,20;0,00;0,90;588,70;59,10;;;10.116.613,03;1.424,00;Ativa;
ALZR11;115,01;6,71;1,06;938.924,23;5,57;4,18;5,48;642.677.411,67;97.533,00;Ativa;
PORD11;93,47;11,12;0,94;648.293,55;3,00;;-1,94;370.483.839,84;14.059,00;Ativa;
KIVO11;0,00;0,00;;;39,60;;;35.672.180,13;1,00;Ativa;
ESTQ11;0,00;0,00;;;33,08;;;16.105.781,90;5,00;Ativa;
CBOP11;72,90;10,30;0,80;76.816,25;3,64;10,13;0,11;128.523.568,51;3.630,00;Passiva;
FIVN11;2,40;0,00;0,34;91.541,65;0,00;;-6,11;65.805.766,28;3.155,00;Passiva;
QIRI11;90,00;7,79;1,00;3.388,48;0,88;;;13.503.706,62;165,00;Passiva;
SDIL11;86,50;8,31;0,89;1.032.609,00;2,84;1,41;-8,72;622.933.473,38;51.477,00;Ativa;
TEPP11;73,47;6,81;0,81;160.096,10;0,20;;;384.342.485,15;7.807,00;Ativa;
PQDP11;2.200,00;5,30;0,65;147.676,43;1,09;-9,98;-10,42;812.414.024,20;4.068,00;Passiva;
FINF11;0,00;0,00;;;0,82;;;43.198.938,02;4,00;Ativa;
HGCR11;105,45;9,27;1,03;2.133.533,73;2,24;6,51;-3,92;1.268.610.704,46;59.293,00;Ativa;
HGRE11;132,50;7,76;0,80;2.407.297,90;1,28;5,90;-2,96;1.949.751.010,85;113.050,00;Ativa;
ALMI11;1.002,48;0,00;0,45;75.486,38;1,77;;-12,76;250.264.016,46;3.154,00;Passiva;
RBCO11;55,59;8,08;0,55;239.070,20;3,74;;;378.738.232,01;6.413,00;Ativa;
